time,value,correction,quality
1995-10-23T11:00:00Z,379.82,0,3
1995-10-24T11:00:00Z,380.3,0,3
1995-10-25T11:00:00Z,380.22,0,3
1995-10-26T11:00:00Z,380.22,0,3
1995-10-27T11:00:00Z,380.38,0,3
1995-10-28T11:00:00Z,380.52,0,3
1995-10-29T11:00:00Z,380.04,0,3
1995-10-30T11:00:00Z,379.65,0,3
1995-10-31T11:00:00Z,379.66,0,3
1995-11-01T11:00:00Z,379.63,0,3
1995-11-02T11:00:00Z,379.59,0,3
1995-11-03T11:00:00Z,379.49,0,3
1995-11-04T11:00:00Z,379.39,0,3
1995-11-05T11:00:00Z,379.23,0,3
1995-11-06T11:00:00Z,378.98,0,3
1995-11-07T11:00:00Z,378.3,0,3
1995-11-08T11:00:00Z,378.1,0,3
1995-11-09T11:00:00Z,378.01,0,3
1995-11-10T11:00:00Z,377.93,0,3
1995-11-11T11:00:00Z,377.83,0,3
1995-11-12T11:00:00Z,377.72,0,3
1995-11-13T11:00:00Z,377.61,0,3
1995-11-14T11:00:00Z,377.48,0,3
1995-11-15T11:00:00Z,377.36,0,3
1995-11-16T11:00:00Z,377.23,0,3
1995-11-17T11:00:00Z,377.07,0,3
1995-11-18T11:00:00Z,376.92,0,3
1995-11-19T11:00:00Z,376.85,0,3
1995-11-20T11:00:00Z,376.76,0,3
1995-11-21T11:00:00Z,376.64,0,3
1995-11-22T11:00:00Z,376.53,0,3
1995-11-23T11:00:00Z,376.4,0,3
1995-11-24T11:00:00Z,376.29,0,3
1995-11-25T11:00:00Z,376.64,0,3
1995-11-26T11:00:00Z,377.15,0,3
1995-11-27T11:00:00Z,377.34,0,3
1995-11-28T11:00:00Z,377.26,0,3
1995-11-29T11:00:00Z,377.19,0,3
1995-11-30T11:00:00Z,377.12,0,3
1995-12-01T11:00:00Z,377.1,0,3
1995-12-02T11:00:00Z,377.0,0,3
1995-12-03T11:00:00Z,376.85,0,3
1995-12-04T11:00:00Z,376.61,0,3
1995-12-05T11:00:00Z,376.47,0,3
1995-12-06T11:00:00Z,376.34,0,3
1995-12-07T11:00:00Z,376.27,0,3
1995-12-08T11:00:00Z,376.18,0,3
1995-12-09T11:00:00Z,376.1,0,3
1995-12-10T11:00:00Z,376.03,0,3
1995-12-11T11:00:00Z,375.76,0,3
1995-12-12T11:00:00Z,375.47,0,3
1995-12-13T11:00:00Z,375.37,0,3
1995-12-14T11:00:00Z,375.29,0,3
1995-12-15T11:00:00Z,375.22,0,3
1995-12-16T11:00:00Z,375.08,0,3
1995-12-17T11:00:00Z,375.0,0,3
1995-12-18T11:00:00Z,374.91,0,3
1995-12-19T11:00:00Z,374.89,0,3
1995-12-20T11:00:00Z,374.78,0,3
1995-12-21T11:00:00Z,374.7,0,3
1995-12-22T11:00:00Z,374.57,0,3
1995-12-23T11:00:00Z,374.43,0,3
1995-12-24T11:00:00Z,374.25,0,3
1995-12-25T11:00:00Z,374.11,0,3
1995-12-26T11:00:00Z,374.01,0,3
1995-12-27T11:00:00Z,373.93,0,3
1995-12-28T11:00:00Z,373.82,0,3
1995-12-29T11:00:00Z,373.7,0,3
1995-12-30T11:00:00Z,373.6,0,3
1995-12-31T11:00:00Z,373.48,0,3
1996-01-01T11:00:00Z,373.36,0,3
1996-01-02T11:00:00Z,373.24,0,3
1996-01-03T11:00:00Z,373.17,0,3
1996-01-04T11:00:00Z,373.1,0,3
1996-01-05T11:00:00Z,373.03,0,3
1996-01-06T11:00:00Z,372.96,0,3
1996-01-07T11:00:00Z,372.89,0,3
1996-01-08T11:00:00Z,372.78,0,3
1996-01-09T11:00:00Z,372.7,0,3
1996-01-10T11:00:00Z,372.67,0,3
1996-01-11T11:00:00Z,372.62,0,3
1996-01-12T11:00:00Z,372.56,0,3
1996-01-13T11:00:00Z,372.49,0,3
1996-01-14T11:00:00Z,372.39,0,3
1996-01-15T11:00:00Z,372.33,0,3
1996-01-16T11:00:00Z,372.27,0,3
